Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 2 | Fibre: False | Axis: X | Norm: No,1,30.7795,32.49,33.24,0.93,0.94,0.75
Radius 2 | Fibre: False | Axis: X | Norm: No,2,20.3929,32.49,33.15,0.93,0.94,0.6599999999999966
Radius 2 | Fibre: False | Axis: X | Norm: No,3,19.8402,32.49,33.27,0.93,0.93,0.7800000000000011
Radius 2 | Fibre: False | Axis: X | Norm: No,4,19.6516,32.49,33.3,0.93,0.94,0.8099999999999952
Radius 2 | Fibre: False | Axis: X | Norm: No,5,18.6877,32.49,33.29,0.93,0.94,0.7999999999999972
Radius 2 | Fibre: False | Axis: X | Norm: No,6,18.2201,32.49,33.31,0.93,0.94,0.8200000000000003
Radius 2 | Fibre: False | Axis: X | Norm: No,7,17.9464,32.49,33.34,0.93,0.94,0.8500000000000014
Radius 2 | Fibre: False | Axis: X | Norm: No,8,17.4735,32.49,33.21,0.93,0.94,0.7199999999999989
Radius 2 | Fibre: False | Axis: X | Norm: No,9,17.2059,32.49,33.33,0.93,0.94,0.8399999999999963
Radius 2 | Fibre: False | Axis: X | Norm: No,10,17.0933,32.49,33.15,0.93,0.94,0.6599999999999966
Radius 2 | Fibre: False | Axis: X | Norm: No,11,16.8676,32.49,32.98,0.93,0.93,0.4899999999999949
Radius 2 | Fibre: False | Axis: X | Norm: No,12,16.5722,32.49,32.46,0.93,0.94,-0.030000000000001137
Radius 2 | Fibre: False | Axis: X | Norm: No,13,16.21,32.49,33.32,0.93,0.94,0.8299999999999983
Radius 2 | Fibre: False | Axis: X | Norm: No,14,16.0605,32.49,33.33,0.93,0.94,0.8399999999999963
Radius 2 | Fibre: False | Axis: X | Norm: No,15,15.9596,32.49,33.33,0.93,0.94,0.8399999999999963
Radius 2 | Fibre: False | Axis: X | Norm: No,16,15.7049,32.49,32.89,0.93,0.94,0.3999999999999986
Radius 2 | Fibre: False | Axis: X | Norm: No,17,15.6224,32.49,33.09,0.93,0.93,0.6000000000000014
Radius 2 | Fibre: False | Axis: X | Norm: No,18,15.4226,32.49,33.2,0.93,0.94,0.7100000000000009
Radius 2 | Fibre: False | Axis: X | Norm: No,19,15.3435,32.49,33.31,0.93,0.94,0.8200000000000003
Radius 2 | Fibre: False | Axis: X | Norm: No,20,15.2641,32.49,31.67,0.93,0.93,-0.8200000000000003
Radius 2 | Fibre: False | Axis: X | Norm: No,21,15.1576,32.49,33.23,0.93,0.93,0.7399999999999949
Radius 2 | Fibre: False | Axis: X | Norm: No,22,14.9728,32.49,33.25,0.93,0.94,0.759999999999998
Radius 2 | Fibre: False | Axis: X | Norm: No,23,14.9714,32.49,33.24,0.93,0.93,0.75
Radius 2 | Fibre: False | Axis: X | Norm: No,24,14.8173,32.49,33.17,0.93,0.93,0.6799999999999997
Radius 2 | Fibre: False | Axis: X | Norm: No,25,14.7658,32.49,33.17,0.93,0.93,0.6799999999999997
Radius 2 | Fibre: False | Axis: X | Norm: No,26,14.64,32.49,33.29,0.93,0.94,0.7999999999999972
Radius 2 | Fibre: False | Axis: X | Norm: No,27,14.7507,32.49,33.1,0.93,0.93,0.6099999999999994
Radius 2 | Fibre: False | Axis: X | Norm: No,28,14.5474,32.49,33.09,0.93,0.94,0.6000000000000014
Radius 2 | Fibre: False | Axis: X | Norm: No,29,14.4337,32.49,33.09,0.93,0.93,0.6000000000000014
Radius 2 | Fibre: False | Axis: X | Norm: No,30,14.3957,32.49,33.17,0.93,0.93,0.6799999999999997
Radius 2 | Fibre: False | Axis: X | Norm: No,31,14.4981,32.49,33.24,0.93,0.94,0.75
Radius 2 | Fibre: False | Axis: X | Norm: No,32,14.201,32.49,32.99,0.93,0.93,0.5
Radius 2 | Fibre: False | Axis: X | Norm: No,33,14.151,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: No,34,14.3934,32.49,32.96,0.93,0.93,0.46999999999999886
Radius 2 | Fibre: False | Axis: X | Norm: No,35,13.9862,32.49,33.2,0.93,0.94,0.7100000000000009
Radius 2 | Fibre: False | Axis: X | Norm: No,36,14.4471,32.49,32.95,0.93,0.93,0.46000000000000085
Radius 2 | Fibre: False | Axis: X | Norm: No,37,13.9698,32.49,33.06,0.93,0.94,0.5700000000000003
Radius 2 | Fibre: False | Axis: X | Norm: No,38,13.8865,32.49,33.12,0.93,0.94,0.6299999999999955
Radius 2 | Fibre: False | Axis: X | Norm: No,39,13.8622,32.49,33.11,0.93,0.94,0.6199999999999974
Radius 2 | Fibre: False | Axis: X | Norm: No,40,13.8503,32.49,33.02,0.93,0.93,0.5300000000000011
Radius 2 | Fibre: False | Axis: X | Norm: No,41,13.7274,32.49,33.01,0.93,0.93,0.519999999999996
Radius 2 | Fibre: False | Axis: X | Norm: No,42,13.8331,32.49,33.13,0.93,0.93,0.6400000000000006
Radius 2 | Fibre: False | Axis: X | Norm: No,43,13.758,32.49,33.02,0.93,0.93,0.5300000000000011
Radius 2 | Fibre: False | Axis: X | Norm: No,44,13.5746,32.49,33.04,0.93,0.93,0.5499999999999972
Radius 2 | Fibre: False | Axis: X | Norm: No,45,13.5465,32.49,33.08,0.93,0.94,0.5899999999999963
Radius 2 | Fibre: False | Axis: X | Norm: No,46,13.5268,32.49,33.04,0.93,0.93,0.5499999999999972
Radius 2 | Fibre: False | Axis: X | Norm: No,47,13.4987,32.49,32.99,0.93,0.93,0.5
Radius 2 | Fibre: False | Axis: X | Norm: No,48,13.443,32.49,32.99,0.93,0.93,0.5
Radius 2 | Fibre: False | Axis: X | Norm: No,49,13.3842,32.49,32.97,0.93,0.93,0.4799999999999969
Radius 2 | Fibre: False | Axis: X | Norm: No,50,13.3816,32.49,32.99,0.93,0.94,0.5
Radius 2 | Fibre: False | Axis: X | Norm: Yes,1,0.0004,32.49,32.9,0.93,0.93,0.4099999999999966
Radius 2 | Fibre: False | Axis: X | Norm: Yes,2,0.0003,32.49,33.08,0.93,0.94,0.5899999999999963
Radius 2 | Fibre: False | Axis: X | Norm: Yes,3,0.0003,32.49,32.82,0.93,0.93,0.3299999999999983
Radius 2 | Fibre: False | Axis: X | Norm: Yes,4,0.0003,32.49,32.78,0.93,0.89,0.28999999999999915
Radius 2 | Fibre: False | Axis: X | Norm: Yes,5,0.0003,32.49,33.0,0.93,0.94,0.509999999999998
Radius 2 | Fibre: False | Axis: X | Norm: Yes,6,0.0003,32.49,33.08,0.93,0.94,0.5899999999999963
Radius 2 | Fibre: False | Axis: X | Norm: Yes,7,0.0003,32.49,33.08,0.93,0.94,0.5899999999999963
Radius 2 | Fibre: False | Axis: X | Norm: Yes,8,0.0003,32.49,33.13,0.93,0.94,0.6400000000000006
Radius 2 | Fibre: False | Axis: X | Norm: Yes,9,0.0003,32.49,33.19,0.93,0.94,0.6999999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,10,0.0003,32.49,32.96,0.93,0.93,0.46999999999999886
Radius 2 | Fibre: False | Axis: X | Norm: Yes,11,0.0003,32.49,32.85,0.93,0.93,0.35999999999999943
Radius 2 | Fibre: False | Axis: X | Norm: Yes,12,0.0003,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,13,0.0003,32.49,32.96,0.93,0.93,0.46999999999999886
Radius 2 | Fibre: False | Axis: X | Norm: Yes,14,0.0002,32.49,33.01,0.93,0.93,0.519999999999996
Radius 2 | Fibre: False | Axis: X | Norm: Yes,15,0.0002,32.49,33.02,0.93,0.93,0.5300000000000011
Radius 2 | Fibre: False | Axis: X | Norm: Yes,16,0.0002,32.49,33.01,0.93,0.93,0.519999999999996
Radius 2 | Fibre: False | Axis: X | Norm: Yes,17,0.0002,32.49,33.05,0.93,0.93,0.5599999999999952
Radius 2 | Fibre: False | Axis: X | Norm: Yes,18,0.0002,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,19,0.0002,32.49,33.13,0.93,0.93,0.6400000000000006
Radius 2 | Fibre: False | Axis: X | Norm: Yes,20,0.0002,32.49,32.97,0.93,0.93,0.4799999999999969
Radius 2 | Fibre: False | Axis: X | Norm: Yes,21,0.0002,32.49,33.07,0.93,0.93,0.5799999999999983
Radius 2 | Fibre: False | Axis: X | Norm: Yes,22,0.0002,32.49,33.1,0.93,0.93,0.6099999999999994
Radius 2 | Fibre: False | Axis: X | Norm: Yes,23,0.0002,32.49,33.06,0.93,0.93,0.5700000000000003
Radius 2 | Fibre: False | Axis: X | Norm: Yes,24,0.0002,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,25,0.0002,32.49,33.02,0.93,0.93,0.5300000000000011
Radius 2 | Fibre: False | Axis: X | Norm: Yes,26,0.0002,32.49,33.14,0.93,0.93,0.6499999999999986
Radius 2 | Fibre: False | Axis: X | Norm: Yes,27,0.0002,32.49,33.05,0.93,0.93,0.5599999999999952
Radius 2 | Fibre: False | Axis: X | Norm: Yes,28,0.0002,32.49,33.07,0.93,0.93,0.5799999999999983
Radius 2 | Fibre: False | Axis: X | Norm: Yes,29,0.0002,32.49,32.94,0.93,0.93,0.44999999999999574
Radius 2 | Fibre: False | Axis: X | Norm: Yes,30,0.0002,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,31,0.0002,32.49,33.05,0.93,0.93,0.5599999999999952
Radius 2 | Fibre: False | Axis: X | Norm: Yes,32,0.0002,32.49,33.03,0.93,0.93,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,33,0.0002,32.49,32.96,0.93,0.93,0.46999999999999886
Radius 2 | Fibre: False | Axis: X | Norm: Yes,34,0.0002,32.49,32.97,0.93,0.93,0.4799999999999969
Radius 2 | Fibre: False | Axis: X | Norm: Yes,35,0.0002,32.49,33.13,0.93,0.93,0.6400000000000006
Radius 2 | Fibre: False | Axis: X | Norm: Yes,36,0.0002,32.49,32.93,0.93,0.93,0.4399999999999977
Radius 2 | Fibre: False | Axis: X | Norm: Yes,37,0.0002,32.49,32.98,0.93,0.93,0.4899999999999949
Radius 2 | Fibre: False | Axis: X | Norm: Yes,38,0.0002,32.49,32.97,0.93,0.93,0.4799999999999969
Radius 2 | Fibre: False | Axis: X | Norm: Yes,39,0.0002,32.49,32.86,0.93,0.93,0.36999999999999744
Radius 2 | Fibre: False | Axis: X | Norm: Yes,40,0.0002,32.49,32.94,0.93,0.93,0.44999999999999574
Radius 2 | Fibre: False | Axis: X | Norm: Yes,41,0.0002,32.49,32.83,0.93,0.93,0.3399999999999963
Radius 2 | Fibre: False | Axis: X | Norm: Yes,42,0.0002,32.49,32.92,0.93,0.93,0.4299999999999997
Radius 2 | Fibre: False | Axis: X | Norm: Yes,43,0.0002,32.49,33.04,0.93,0.93,0.5499999999999972
Radius 2 | Fibre: False | Axis: X | Norm: Yes,44,0.0002,32.49,32.91,0.93,0.93,0.4199999999999946
Radius 2 | Fibre: False | Axis: X | Norm: Yes,45,0.0002,32.49,32.8,0.93,0.93,0.30999999999999517
Radius 2 | Fibre: False | Axis: X | Norm: Yes,46,0.0002,32.49,33.02,0.93,0.93,0.5300000000000011
Radius 2 | Fibre: False | Axis: X | Norm: Yes,47,0.0002,32.49,32.91,0.93,0.93,0.4199999999999946
Radius 2 | Fibre: False | Axis: X | Norm: Yes,48,0.0002,32.49,33.0,0.93,0.93,0.509999999999998
Radius 2 | Fibre: False | Axis: X | Norm: Yes,49,0.0002,32.49,32.95,0.93,0.93,0.46000000000000085
Radius 2 | Fibre: False | Axis: X | Norm: Yes,50,0.0002,32.49,33.04,0.93,0.93,0.5499999999999972
Radius 5 | Fibre: False | Axis: X | Norm: No,1,55.0665,32.17,33.25,0.93,0.94,1.0799999999999983
Radius 5 | Fibre: False | Axis: X | Norm: No,2,20.3028,32.17,33.43,0.93,0.94,1.259999999999998
Radius 5 | Fibre: False | Axis: X | Norm: No,3,19.4212,32.17,33.71,0.93,0.94,1.5399999999999991
Radius 5 | Fibre: False | Axis: X | Norm: No,4,18.2037,32.17,33.02,0.93,0.94,0.8500000000000014
Radius 5 | Fibre: False | Axis: X | Norm: No,5,17.2557,32.17,33.77,0.93,0.94,1.6000000000000014
Radius 5 | Fibre: False | Axis: X | Norm: No,6,17.3686,32.17,33.75,0.93,0.94,1.5799999999999983
Radius 5 | Fibre: False | Axis: X | Norm: No,7,15.9466,32.17,33.78,0.93,0.95,1.6099999999999994
Radius 5 | Fibre: False | Axis: X | Norm: No,8,15.2931,32.17,33.82,0.93,0.94,1.6499999999999986
Radius 5 | Fibre: False | Axis: X | Norm: No,9,16.0854,32.17,33.74,0.93,0.94,1.5700000000000003
Radius 5 | Fibre: False | Axis: X | Norm: No,10,14.6238,32.17,33.74,0.93,0.94,1.5700000000000003
Radius 5 | Fibre: False | Axis: X | Norm: No,11,14.459,32.17,33.69,0.93,0.94,1.519999999999996
Radius 5 | Fibre: False | Axis: X | Norm: No,12,14.4578,32.17,33.75,0.93,0.94,1.5799999999999983
Radius 5 | Fibre: False | Axis: X | Norm: No,13,14.6785,32.17,33.75,0.93,0.94,1.5799999999999983
