Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 5 | Fibre: True | Axis: Y | Norm: No,4,6.5798,36.08,38.39,0.96,0.97,2.3100000000000023
Radius 5 | Fibre: True | Axis: Y | Norm: Yes,10,0.0001,36.08,38.01,0.96,0.97,1.9299999999999997
Radius 5 | Fibre: False | Axis: Z | Norm: No,17,13.3435,32.2,33.9,0.93,0.94,1.6999999999999957
Radius 5 | Fibre: True | Axis: X | Norm: No,10,8.5187,35.0,36.66,0.95,0.96,1.6599999999999966
Radius 5 | Fibre: False | Axis: X | Norm: No,8,15.2931,32.17,33.82,0.93,0.94,1.6499999999999986
Radius 5 | Fibre: False | Axis: Y | Norm: No,5,16.5479,31.69,33.28,0.93,0.94,1.5899999999999999
Radius 5 | Fibre: True | Axis: Z | Norm: No,10,9.1193,34.98,36.41,0.95,0.95,1.4299999999999997
Radius 5 | Fibre: False | Axis: Y | Norm: Yes,19,0.0002,31.69,33.11,0.93,0.94,1.4199999999999982
Radius 5 | Fibre: False | Axis: X | Norm: Yes,4,0.0003,32.17,33.58,0.93,0.94,1.4099999999999966
Radius 5 | Fibre: False | Axis: Z | Norm: Yes,3,0.0003,32.2,33.59,0.93,0.93,1.3900000000000006
Radius 5 | Fibre: True | Axis: X | Norm: Yes,14,0.0001,35.0,36.34,0.95,0.96,1.3400000000000034
Radius 5 | Fibre: True | Axis: Z | Norm: Yes,4,0.0002,34.98,36.2,0.95,0.95,1.220000000000006
Radius 2 | Fibre: False | Axis: X | Norm: No,7,17.9464,32.49,33.34,0.93,0.94,0.8500000000000014
Radius 2 | Fibre: False | Axis: X | Norm: Yes,9,0.0003,32.49,33.19,0.93,0.94,0.6999999999999957
