Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 2 | Fibre: False | Axis: X | Norm: Yes,1,0.0005,36.02,36.23,0.96,0.95,0.20999999999999375
Radius 2 | Fibre: False | Axis: X | Norm: Yes,2,0.0004,36.02,36.77,0.96,0.96,0.75
Radius 2 | Fibre: False | Axis: X | Norm: Yes,3,0.0003,36.02,36.92,0.96,0.96,0.8999999999999986
Radius 2 | Fibre: False | Axis: X | Norm: Yes,4,0.0003,36.02,36.97,0.96,0.97,0.9499999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,5,0.0003,36.02,36.73,0.96,0.96,0.7099999999999937
Radius 2 | Fibre: False | Axis: X | Norm: Yes,6,0.0003,36.02,36.41,0.96,0.9,0.38999999999999346
Radius 2 | Fibre: False | Axis: X | Norm: Yes,7,0.0003,36.02,36.93,0.96,0.96,0.9099999999999966
Radius 2 | Fibre: False | Axis: X | Norm: Yes,8,0.0003,36.02,36.97,0.96,0.96,0.9499999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,9,0.0003,36.02,36.74,0.96,0.97,0.7199999999999989
Radius 2 | Fibre: False | Axis: X | Norm: Yes,10,0.0003,36.02,36.99,0.96,0.97,0.9699999999999989
Radius 2 | Fibre: False | Axis: X | Norm: Yes,11,0.0003,36.02,37.04,0.96,0.97,1.019999999999996
Radius 2 | Fibre: False | Axis: X | Norm: Yes,12,0.0003,36.02,36.64,0.96,0.94,0.6199999999999974
Radius 2 | Fibre: False | Axis: X | Norm: Yes,13,0.0003,36.02,36.89,0.96,0.96,0.8699999999999974
Radius 2 | Fibre: False | Axis: X | Norm: Yes,14,0.0003,36.02,36.94,0.96,0.96,0.9199999999999946
Radius 2 | Fibre: False | Axis: X | Norm: Yes,15,0.0003,36.02,36.85,0.96,0.96,0.8299999999999983
Radius 2 | Fibre: False | Axis: X | Norm: Yes,16,0.0002,36.02,36.88,0.96,0.96,0.8599999999999994
Radius 2 | Fibre: False | Axis: X | Norm: Yes,17,0.0002,36.02,36.9,0.96,0.96,0.8799999999999955
Radius 2 | Fibre: False | Axis: X | Norm: Yes,18,0.0002,36.02,36.97,0.96,0.96,0.9499999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,19,0.0002,36.02,36.88,0.96,0.96,0.8599999999999994
Radius 2 | Fibre: False | Axis: X | Norm: Yes,20,0.0002,36.02,36.7,0.96,0.96,0.6799999999999997
Radius 2 | Fibre: False | Axis: X | Norm: Yes,21,0.0002,36.02,36.88,0.96,0.96,0.8599999999999994
Radius 2 | Fibre: False | Axis: X | Norm: Yes,22,0.0002,36.02,36.98,0.96,0.97,0.9599999999999937
Radius 2 | Fibre: False | Axis: X | Norm: Yes,23,0.0002,36.02,36.93,0.96,0.96,0.9099999999999966
Radius 2 | Fibre: False | Axis: X | Norm: Yes,24,0.0002,36.02,36.87,0.96,0.96,0.8499999999999943
Radius 2 | Fibre: False | Axis: X | Norm: Yes,25,0.0002,36.02,36.9,0.96,0.96,0.8799999999999955
Radius 2 | Fibre: False | Axis: X | Norm: Yes,26,0.0002,36.02,36.85,0.96,0.96,0.8299999999999983
Radius 2 | Fibre: False | Axis: X | Norm: Yes,27,0.0002,36.02,36.84,0.96,0.96,0.8200000000000003
Radius 2 | Fibre: False | Axis: X | Norm: Yes,28,0.0002,36.02,36.86,0.96,0.95,0.8399999999999963
Radius 2 | Fibre: False | Axis: X | Norm: Yes,29,0.0002,36.02,36.8,0.96,0.96,0.779999999999994
Radius 2 | Fibre: False | Axis: X | Norm: Yes,30,0.0002,36.02,36.72,0.96,0.96,0.6999999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,31,0.0002,36.02,36.81,0.96,0.96,0.7899999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,32,0.0002,36.02,36.87,0.96,0.96,0.8499999999999943
Radius 2 | Fibre: False | Axis: X | Norm: Yes,33,0.0002,36.02,36.77,0.96,0.96,0.75
Radius 2 | Fibre: False | Axis: X | Norm: Yes,34,0.0002,36.02,36.76,0.96,0.96,0.7399999999999949
Radius 2 | Fibre: False | Axis: X | Norm: Yes,35,0.0002,36.02,36.69,0.96,0.96,0.6699999999999946
Radius 2 | Fibre: False | Axis: X | Norm: Yes,36,0.0002,36.02,36.56,0.96,0.96,0.5399999999999991
Radius 2 | Fibre: False | Axis: X | Norm: Yes,37,0.0002,36.02,36.78,0.96,0.96,0.759999999999998
Radius 2 | Fibre: False | Axis: X | Norm: Yes,38,0.0002,36.02,36.73,0.96,0.96,0.7099999999999937
Radius 2 | Fibre: False | Axis: X | Norm: Yes,39,0.0002,36.02,36.72,0.96,0.96,0.6999999999999957
Radius 2 | Fibre: False | Axis: X | Norm: Yes,40,0.0002,36.02,36.75,0.96,0.96,0.7299999999999969
Radius 2 | Fibre: False | Axis: X | Norm: Yes,41,0.0002,36.02,36.68,0.96,0.96,0.6599999999999966
Radius 2 | Fibre: False | Axis: X | Norm: Yes,42,0.0002,36.02,36.59,0.96,0.96,0.5700000000000003
Radius 2 | Fibre: False | Axis: X | Norm: Yes,43,0.0002,36.02,36.66,0.96,0.96,0.6399999999999935
Radius 2 | Fibre: False | Axis: X | Norm: Yes,44,0.0002,36.02,36.57,0.96,0.96,0.5499999999999972
