Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 5 | Fibre: True | Axis: Y | Norm: No,9,5.3792,39.13,41.57,0.98,0.99,2.4399999999999977
Radius 5 | Fibre: True | Axis: Y | Norm: Yes,12,0.0001,39.13,41.46,0.98,0.99,2.3299999999999983
Radius 5 | Fibre: True | Axis: X | Norm: No,8,8.3948,36.39,38.15,0.97,0.98,1.759999999999998
Radius 5 | Fibre: False | Axis: X | Norm: No,8,16.5993,35.33,36.94,0.96,0.97,1.6099999999999994
Radius 5 | Fibre: False | Axis: Z | Norm: No,11,14.5287,35.38,36.93,0.96,0.97,1.5499999999999972
Radius 5 | Fibre: True | Axis: X | Norm: Yes,17,0.0001,36.39,37.92,0.97,0.97,1.5300000000000011
Radius 5 | Fibre: False | Axis: X | Norm: Yes,15,0.0002,35.33,36.81,0.96,0.97,1.480000000000004
Radius 5 | Fibre: False | Axis: Z | Norm: Yes,17,0.0002,35.38,36.84,0.96,0.96,1.4600000000000009
Radius 5 | Fibre: False | Axis: Y | Norm: No,8,16.4917,34.75,36.17,0.96,0.97,1.4200000000000017
Radius 5 | Fibre: False | Axis: Y | Norm: Yes,9,0.0003,34.75,36.16,0.96,0.96,1.4099999999999966
Radius 5 | Fibre: True | Axis: Z | Norm: No,5,10.1725,38.74,40.1,0.98,0.98,1.3599999999999994
Radius 5 | Fibre: True | Axis: Z | Norm: Yes,9,0.0001,38.74,40.05,0.98,0.98,1.3099999999999952
Radius 2 | Fibre: False | Axis: X | Norm: No,6,19.2041,36.02,37.16,0.96,0.97,1.1399999999999935
Radius 2 | Fibre: False | Axis: X | Norm: Yes,11,0.0003,36.02,37.04,0.96,0.97,1.019999999999996
