Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 5 | Fibre: True | Axis: Y | Norm: Yes,50,0.0,39.13,41.25,0.98,0.98,2.1199999999999974
Radius 5 | Fibre: True | Axis: Y | Norm: No,50,2.2438,39.13,40.66,0.98,0.98,1.529999999999994
Radius 5 | Fibre: True | Axis: X | Norm: No,50,4.3661,36.39,37.8,0.97,0.97,1.4099999999999966
Radius 5 | Fibre: True | Axis: X | Norm: Yes,50,0.0001,36.39,37.63,0.97,0.97,1.240000000000002
Radius 5 | Fibre: False | Axis: X | Norm: No,50,7.0279,35.33,36.44,0.96,0.97,1.1099999999999994
Radius 5 | Fibre: False | Axis: Z | Norm: Yes,50,0.0001,35.38,36.45,0.96,0.96,1.0700000000000003
Radius 5 | Fibre: False | Axis: X | Norm: Yes,50,0.0002,35.33,36.39,0.96,0.97,1.0600000000000023
Radius 5 | Fibre: False | Axis: Z | Norm: No,50,7.7745,35.38,36.4,0.96,0.97,1.019999999999996
Radius 5 | Fibre: False | Axis: Y | Norm: Yes,50,0.0001,34.75,35.74,0.96,0.96,0.990000000000002
Radius 5 | Fibre: False | Axis: Y | Norm: No,50,7.6084,34.75,35.7,0.96,0.96,0.9500000000000028
Radius 5 | Fibre: True | Axis: Z | Norm: No,50,3.9675,38.74,39.68,0.98,0.97,0.9399999999999977
Radius 2 | Fibre: False | Axis: X | Norm: No,50,9.6368,36.02,36.62,0.96,0.96,0.5999999999999943
Radius 5 | Fibre: True | Axis: Z | Norm: Yes,50,0.0001,38.74,39.25,0.98,0.97,0.509999999999998
Radius 2 | Fibre: False | Axis: X | Norm: Yes,50,0.0002,36.02,35.59,0.96,0.93,-0.4299999999999997
